Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Italië,Risotto ai Funghi Classico met saus,"paddenstoelen, boter, room, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Magret de Canard de Lyon met kruiden,"eend, aardappelgratin, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Boeuf Bourguignon Traditionnel met citroen,"wortel, ui, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Cassoulet de Lyon van de chef,"worst, tomaat, bonen, vlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Risotto ai Funghi Rustico met champignons,"kaas, room, boter, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Apfelstrudel Hausgemacht met champignons,"deeg, appel, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Chorizo al Vino Tradicional met roomsaus,"rode wijn, knoflook, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Gazpacho Andaluz Casera met olijven,"knoflook, komkommer, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Albondigas en Salsa del Norte met citroen,"tomatensaus, gehaktballetjes, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Merluza a la Plancha Andaluz met citroen,"peterselie, citroen, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Empanadas Casera met saus,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kibbeling Hollands met olijven,"beslag, witvis, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Tiramisu alla Toscana met truffel,"mascarpone, koffie, cacao",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Asperges met Ham van het Huis met citroen,"ham, boter, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz del Norte met verse basilicum,"knoflook, komkommer, tomaat, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Kartoffelsalat Klassisch met saus,"ui, aardappel, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Zalm met Dillesaus Hollands speciale editie,"zalm, dille, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Pannenkoeken met Appel van het Huis met verse groenten,"appel, bloem, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Pasta all’Amatriciana alla Toscana van de chef,"tomaat, ui, guanciale",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Kartoffelsalat Klassisch met verse basilicum,"azijn, ui, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Pulpo a la Gallega de la Casa met kruiden,"inktvis, aardappel, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Paella Valenciana de la Casa met verse basilicum,"kip, rijst, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Quiche Lorraine de Lyon met citroen,"kaas, spek, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Empanadas del Norte met kruiden,"gehakt, paprika, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Apfelstrudel vom Grill met kruiden,"kaneel, deeg, appel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel Rheinisch met saus,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Chorizo al Vino del Mar met citroen,"rode wijn, knoflook, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Forelle Müllerin nach Oma’s Rezept met verse basilicum,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kipspies met Paprika Hollands van de chef,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Poulet à la Crème au Vin met truffel,"room, boter, champignons, kip",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Asperges met Ham Ambachtelijk met verse basilicum,"asperges, boter, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Quiche Lorraine Traditionnel met kruiden,"kaas, room, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Magret de Canard Maison met champignons,"eend, aardappelgratin, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Pulpo a la Gallega Catalana met olijven,"inktvis, paprika, aardappel",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Merluza a la Plancha Andaluz met kruiden,"heek, citroen, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Poulet à la Crème Régionale met verse groenten,"kip, champignons, boter, room",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Asperges met Ham Ambachtelijk uit de oven,"asperges, boter, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Fritto Misto Rustico uit de oven,"inktvis, citroen, garnalen, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Kibbeling met Spekjes met roomsaus,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Quiche Lorraine de Lyon uit de oven,"eieren, room, kaas, spek",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Coq au Vin de Lyon met verse groenten,"spekjes, kip, rode wijn, ui, champignons",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Kipspies met Paprika met Spekjes met truffel,"kip, paprika, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Asperges met Ham met Kaas met saus,"boter, asperges, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Bruschetta al Pomodoro alla Casa speciale editie,"tomaat, olijfolie, basilicum",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Bistecca alla Fiorentina Tradizionale met kruiden,"rozemarijn, rundvlees, citroen",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Bistecca alla Fiorentina Classico met olijven,"citroen, rundvlees, olijfolie, rozemarijn, peper",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Entrecôte au Poivre de Lyon met roomsaus,"rundvlees, peper, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Lasagne alla Bolognese Rustico met roomsaus,"gehakt, tomaat, kaas",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Kibbeling Ouderwets van de chef,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Pulpo a la Gallega Catalana met champignons,"paprika, aardappel, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Patatas Bravas Casera met truffel,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Kartoffelsalat Bayerisch speciale editie,"ui, azijn, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Coq au Vin à la Crème met roomsaus,"champignons, spekjes, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Poulet à la Crème Traditionnel van de chef,"kip, champignons, boter, room",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Chorizo al Vino del Norte met verse groenten,"rode wijn, knoflook, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Spaghetti alle Vongole alla Toscana uit de oven,"knoflook, olijfolie, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Risotto ai Funghi del Mare met citroen,"boter, room, rijst, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Spaghetti alle Vongole Classico speciale editie,"olijfolie, witte wijn, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Merluza a la Plancha del Norte speciale editie,"citroen, peterselie, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Canard à l’Orange Provençale met truffel,"sinaasappel, eend, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro Classico van de chef,"stokbrood, basilicum, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Insalata Caprese alla Toscana met verse groenten,"tomaat, olijfolie, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Boeuf Bourguignon de Lyon met saus,"ui, wortel, rode wijn, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Apfelstrudel nach Oma’s Rezept met kruiden,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut Klassisch van de chef,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Patatas Bravas del Norte van de chef,"aardappel, tomaat, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Rinderroulade Bayerisch met truffel,"augurk, mosterd, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Rinderroulade vom Grill met saus,"mosterd, rundvlees, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Canard à l’Orange Traditionnel met olijven,"boter, eend, honing, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Quiche Lorraine Traditionnel speciale editie,"kaas, room, spek",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Haring met Ui Hollands uit de oven,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Coq au Vin au Vin met kruiden,"champignons, spekjes, ui, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Fritto Misto alla Toscana met saus,"bloem, garnalen, citroen, inktvis",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Risotto ai Funghi al Forno van de chef,"rijst, kaas, boter",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Paella Valenciana del Norte met saus,"garnalen, kip, rijst",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Zalm met Dillesaus met Kaas van de chef,"zalm, dille, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Asperges met Ham met Kaas met truffel,"boter, asperges, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Fritto Misto del Mare uit de oven,"bloem, citroen, inktvis",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Filet de Sole Provençale met truffel,"vis, citroen, peterselie, boter",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Patatas Bravas Catalana speciale editie,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Pannenkoeken met Appel Ambachtelijk met truffel,"appel, bloem, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Boeuf Bourguignon Provençale van de chef,"rundvlees, wortel, ui, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Filet de Sole Maison met citroen,"peterselie, boter, citroen, vis",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Merluza a la Plancha Casera met olijven,"heek, peterselie, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Pannenkoeken met Appel Ouderwets met citroen,"appel, melk, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Gazpacho Andaluz Casera met verse basilicum,"komkommer, knoflook, olijfolie, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Tortilla Española del Norte uit de oven,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Chorizo al Vino de la Casa met saus,"chorizo, knoflook, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Apfelstrudel nach Oma’s Rezept met roomsaus,"kaneel, appel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Empanadas Tradicional met roomsaus,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Tortilla Española Tradicional met verse groenten,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kibbeling Ambachtelijk speciale editie,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Forelle Müllerin Rheinisch met kruiden,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Klassisch met verse basilicum,"rundvlees, ui, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Spaghetti alle Vongole Classico met roomsaus,"venusschelpen, witte wijn, olijfolie, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kipspies met Paprika Ouderwets met verse groenten,"ui, kip, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Sauerbraten Bayerisch speciale editie,"rundvlees, azijn, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Lasagne alla Bolognese Rustico van de chef,"tomaat, knoflook, kaas, ui",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Lasagne alla Bolognese alla Toscana met citroen,"ui, gehakt, knoflook",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Kipspies met Paprika met Kaas speciale editie,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Pannenkoeken met Appel van het Huis van de chef,"appel, bloem, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Kibbeling Ambachtelijk uit de oven,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Cassoulet Traditionnel met olijven,"vlees, worst, bonen, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Cassoulet Régionale van de chef,"tomaat, worst, vlees, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Rinderroulade Bayerisch met saus,"augurk, rundvlees, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept speciale editie,"zuurkool, worst, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Filet de Sole Maison uit de oven,"citroen, peterselie, boter",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Quiche Lorraine Traditionnel met truffel,"kaas, spek, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Fritto Misto Rustico met saus,"inktvis, garnalen, citroen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Cassoulet Régionale met verse groenten,"worst, tomaat, vlees, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Risotto ai Funghi Classico met truffel,"boter, kaas, room, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Lasagne alla Bolognese al Forno van de chef,"ui, tomaat, gehakt, knoflook",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Empanadas Casera met kruiden,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Albondigas en Salsa Casera van de chef,"ui, tomatensaus, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Risotto ai Funghi Tradizionale met verse basilicum,"kaas, boter, paddenstoelen, rijst, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Apfelstrudel Hausgemacht met roomsaus,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Chorizo al Vino de la Casa met kruiden,"knoflook, chorizo, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Kartoffelsalat Bayerisch met verse groenten,"aardappel, azijn, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Entrecôte au Poivre Maison met kruiden,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Fritto Misto al Forno met truffel,"inktvis, citroen, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Kibbeling met Kaas met olijven,"citroen, witvis, beslag",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Albondigas en Salsa Casera speciale editie,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Paella Valenciana Casera met truffel,"rijst, saffraan, garnalen, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Tiramisu Tradizionale met kruiden,"cacao, suiker, koffie, mascarpone",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Fritto Misto del Mare met olijven,"garnalen, citroen, inktvis, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Zalm met Dillesaus Ouderwets van de chef,"dille, zalm, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Kartoffelsalat Bayerisch met citroen,"azijn, aardappel, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Rinderroulade nach Oma’s Rezept met roomsaus,"augurk, rundvlees, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Paella Valenciana Catalana met saus,"saffraan, garnalen, rijst, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Kartoffelsalat Rheinisch met saus,"aardappel, azijn, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Haring met Ui met Kaas met saus,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Pulpo a la Gallega Casera van de chef,"paprika, inktvis, aardappel",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Albondigas en Salsa Catalana speciale editie,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Forelle Müllerin Rheinisch met roomsaus,"forel, boter, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Klassisch met citroen,"rundvlees, azijn, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Entrecôte au Poivre au Vin met verse basilicum,"room, rundvlees, peper",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Magret de Canard de Lyon met roomsaus,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Risotto ai Funghi Classico met verse groenten,"room, boter, rijst, paddenstoelen, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kipspies met Paprika Ouderwets met citroen,"ui, kip, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Quiche Lorraine Régionale uit de oven,"spek, room, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Bruschetta al Pomodoro al Forno met saus,"stokbrood, basilicum, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Quiche Lorraine à la Crème met verse groenten,"room, kaas, eieren, spek",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Sauerbraten Bayerisch met kruiden,"ui, azijn, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Spaghetti alle Vongole alla Toscana met verse groenten,"witte wijn, knoflook, olijfolie, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Spaghetti alle Vongole alla Toscana met kruiden,"venusschelpen, olijfolie, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Paella Valenciana del Norte uit de oven,"saffraan, kip, rijst, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Lasagne alla Bolognese Classico met kruiden,"ui, tomaat, kaas, knoflook, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Bratwurst mit Sauerkraut Rheinisch met saus,"aardappel, zuurkool, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Paella Valenciana Catalana met champignons,"rijst, kip, garnalen, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Sauerbraten nach Oma’s Rezept speciale editie,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Poulet à la Crème Traditionnel met champignons,"boter, kip, champignons, room",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Canard à l’Orange Provençale met kruiden,"boter, eend, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Pannenkoeken met Appel Hollands met roomsaus,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Sauerbraten Klassisch uit de oven,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Cassoulet au Vin speciale editie,"vlees, worst, bonen, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Forelle Müllerin nach Oma’s Rezept met olijven,"forel, boter, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Risotto ai Funghi Classico van de chef,"boter, paddenstoelen, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Risotto ai Funghi Rustico met saus,"boter, kaas, paddenstoelen",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Fritto Misto Tradizionale van de chef,"inktvis, bloem, garnalen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Kibbeling van het Huis met saus,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept uit de oven,"worst, aardappel, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Lasagne alla Bolognese Rustico met kruiden,"kaas, tomaat, knoflook, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Cassoulet à la Crème met verse basilicum,"bonen, vlees, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Insalata Caprese alla Casa met roomsaus,"mozzarella, tomaat, basilicum, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Entrecôte au Poivre Maison met citroen,"rundvlees, peper, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Patatas Bravas Catalana met saus,"tomaat, paprika, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Poulet à la Crème Traditionnel met olijven,"champignons, kip, boter",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Apfelstrudel vom Grill met verse basilicum,"deeg, kaneel, appel",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Cassoulet Provençale met olijven,"vlees, worst, bonen, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Nederland,Asperges met Ham van het Huis van de chef,"asperges, ham, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Asperges met Ham met Kaas van de chef,"boter, asperges, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kipspies met Paprika Hollands met champignons,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Merluza a la Plancha Tradicional van de chef,"citroen, heek, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Asperges met Ham Ouderwets met verse basilicum,"boter, asperges, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Spaghetti alle Vongole al Forno met verse basilicum,"venusschelpen, olijfolie, knoflook, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Tortilla Española del Mar uit de oven,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Bruschetta al Pomodoro del Mare met saus,"basilicum, tomaat, stokbrood",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Patatas Bravas Tradicional met citroen,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Empanadas Casera met citroen,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Quiche Lorraine Maison met kruiden,"eieren, room, spek",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Pannenkoeken met Appel Hollands uit de oven,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Zalm met Dillesaus Ambachtelijk met saus,"citroen, dille, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Pannenkoeken met Appel Ouderwets speciale editie,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Pulpo a la Gallega del Norte met verse groenten,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Pannenkoeken met Appel met Spekjes met citroen,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept met citroen,"zuurkool, worst, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Merluza a la Plancha Andaluz speciale editie,"peterselie, citroen, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Zalm met Dillesaus van het Huis speciale editie,"zalm, dille, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Magret de Canard Traditionnel met champignons,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Forelle Müllerin Klassisch van de chef,"forel, boter, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Haring met Ui met Kaas met truffel,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel Klassisch speciale editie,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Paella Valenciana del Norte met verse groenten,"saffraan, garnalen, rijst, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Asperges met Ham met Spekjes van de chef,"ham, asperges, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Tortilla Española Tradicional van de chef,"ui, ei, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Bruschetta al Pomodoro Tradizionale speciale editie,"stokbrood, olijfolie, basilicum, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Filet de Sole de Lyon uit de oven,"peterselie, boter, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Chorizo al Vino Andaluz met kruiden,"rode wijn, knoflook, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Apfelstrudel Hausgemacht met citroen,"deeg, kaneel, appel",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Pasta all’Amatriciana alla Toscana speciale editie,"tomaat, ui, peper",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Rinderroulade Bayerisch met verse groenten,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Boeuf Bourguignon Provençale met citroen,"wortel, rundvlees, tijm, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Pasta all’Amatriciana del Mare speciale editie,"pecorino, peper, tomaat, ui",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Entrecôte au Poivre de Lyon met olijven,"rundvlees, room, peper",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Coq au Vin Traditionnel met citroen,"kip, spekjes, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Forelle Müllerin Bayerisch van de chef,"forel, citroen, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Filet de Sole Traditionnel met kruiden,"peterselie, boter, vis",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Insalata Caprese del Mare met saus,"basilicum, olijfolie, mozzarella, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Empanadas de la Casa speciale editie,"paprika, gehakt, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Albondigas en Salsa Casera met citroen,"gehaktballetjes, ui, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Magret de Canard Provençale met verse basilicum,"eend, aardappelgratin, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
