Wijnsoort,Gerecht,Ingrediënten,Afkomst
Glera,Vol-au-vent,"kip, champignons, bladerdeeg, roomsaus",Belgisch
Glera,Pisto,"tomaat, paprika, courgette, ui",Spaans
Glera,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Glera,Croquetas,"ham, melk, boter, paneermeel",Spaans
Port,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Port,Focaccia,"bloem, olijfolie, rozemarijn, zout",Italiaans
Port,Jamón Ibérico,gedroogde ham,Spaans
Port,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Port,Spaghetti Carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Port,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Port,Pulpo a la Gallega,"octopus, paprika, olijfolie, aardappelen",Spaans
Port,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Port,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Port,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Grenache,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Grenache,Focaccia,"bloem, olijfolie, rozemarijn, zout",Italiaans
Grenache,Croquetas,"ham, melk, boter, paneermeel",Spaans
Grenache,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Grenache,Patatas Bravas,"aardappelen, tomatensaus, knoflook, chili",Spaans
Grenache,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Grenache,Witloof in de oven,"witlof, ham, kaas, roomsaus",Belgisch
Grenache,Pisto,"tomaat, paprika, courgette, ui",Spaans
Grenache,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Grenache,Jamón Ibérico,gedroogde ham,Spaans
"Corvina, Rondinella, Molinara",Appeltaart,"appels, kaneel, suiker, bloem, boter",Nederlands
"Corvina, Rondinella, Molinara",Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
"Corvina, Rondinella, Molinara",Pulpo a la Gallega,"octopus, paprika, olijfolie, aardappelen",Spaans
"Corvina, Rondinella, Molinara",Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
"Corvina, Rondinella, Molinara",Haring met ui,"haring, ui, augurk",Nederlands
"Corvina, Rondinella, Molinara",Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
"Corvina, Rondinella, Molinara",Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
"Corvina, Rondinella, Molinara",Tiramisu,"mascarpone, koffie, lange vingers, cacao",Italiaans
"Corvina, Rondinella, Molinara",Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
"Corvina, Rondinella, Molinara",Witloof in de oven,"witlof, ham, kaas, roomsaus",Belgisch
Chenin Blanc,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Chenin Blanc,Focaccia,"bloem, olijfolie, rozemarijn, zout",Italiaans
Chenin Blanc,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Chenin Blanc,Speculaas,"bloem, speculaaskruiden, suiker, boter",Nederlands
Chenin Blanc,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Chenin Blanc,Gaufres de Liège,"bloem, parelsuiker, gist, boter",Belgisch
Chenin Blanc,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Chenin Blanc,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Chenin Blanc,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Chenin Blanc,Confit de canard,"eendenbouten, eendenvet, knoflook",Frans
Tempranillo Blend,Stroopwafels,"stroop, bloem, boter, suiker",Nederlands
Tempranillo Blend,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Tempranillo Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Tempranillo Blend,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Tempranillo Blend,Confit de canard,"eendenbouten, eendenvet, knoflook",Frans
Tempranillo Blend,Focaccia,"bloem, olijfolie, rozemarijn, zout",Italiaans
Tempranillo Blend,Cassoulet,"witte bonen, worst, eend, spek",Frans
Tempranillo Blend,Erwtensoep,"spliterwten, rookworst, knolselderij, wortel",Nederlands
Tempranillo Blend,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Tempranillo Blend,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Carmenère,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Carmenère,Pulpo a la Gallega,"octopus, paprika, olijfolie, aardappelen",Spaans
Carmenère,Erwtensoep,"spliterwten, rookworst, knolselderij, wortel",Nederlands
Carmenère,Tiramisu,"mascarpone, koffie, lange vingers, cacao",Italiaans
Carmenère,Waterzooi,"kip, room, wortelen, prei, aardappelen",Belgisch
Carmenère,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Carmenère,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Carmenère,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Carmenère,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Carmenère,Poffertjes,"bloem, melk, gist, boter, poedersuiker",Nederlands
Albariño,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Albariño,Croquetas,"ham, melk, boter, paneermeel",Spaans
Albariño,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Albariño,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Albariño,Spaghetti Carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Albariño,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Albariño,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Albariño,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Albariño,Pulpo a la Gallega,"octopus, paprika, olijfolie, aardappelen",Spaans
Albariño,Sole meunière,"zeetong, boter, citroen, peterselie",Frans
Pinot Blanc,Haring met ui,"haring, ui, augurk",Nederlands
Pinot Blanc,Cassoulet,"witte bonen, worst, eend, spek",Frans
Pinot Blanc,Poffertjes,"bloem, melk, gist, boter, poedersuiker",Nederlands
Pinot Blanc,Vol-au-vent,"kip, champignons, bladerdeeg, roomsaus",Belgisch
Pinot Blanc,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Pinot Blanc,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Pinot Blanc,Patatas Bravas,"aardappelen, tomatensaus, knoflook, chili",Spaans
Pinot Blanc,Witloof in de oven,"witlof, ham, kaas, roomsaus",Belgisch
Pinot Blanc,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Pinot Blanc,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Rhône-style White Blend,Haring met ui,"haring, ui, augurk",Nederlands
Rhône-style White Blend,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Rhône-style White Blend,Gaufres de Liège,"bloem, parelsuiker, gist, boter",Belgisch
Rhône-style White Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Rhône-style White Blend,Vol-au-vent,"kip, champignons, bladerdeeg, roomsaus",Belgisch
Rhône-style White Blend,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Rhône-style White Blend,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Rhône-style White Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Rhône-style White Blend,Sole meunière,"zeetong, boter, citroen, peterselie",Frans
Rhône-style White Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Nero d'Avola,Churros,"bloem, suiker, olie, kaneel",Spaans
Nero d'Avola,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Nero d'Avola,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Nero d'Avola,Tiramisu,"mascarpone, koffie, lange vingers, cacao",Italiaans
Nero d'Avola,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Nero d'Avola,Confit de canard,"eendenbouten, eendenvet, knoflook",Frans
Nero d'Avola,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Nero d'Avola,Bitterballen,"rundvlees, boter, paneermeel, mosterd",Nederlands
Nero d'Avola,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Nero d'Avola,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Aglianico,Croquetas,"ham, melk, boter, paneermeel",Spaans
Aglianico,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Aglianico,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Aglianico,Vol-au-vent,"kip, champignons, bladerdeeg, roomsaus",Belgisch
Aglianico,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Aglianico,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Aglianico,Witloof in de oven,"witlof, ham, kaas, roomsaus",Belgisch
Aglianico,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Aglianico,Patatas Bravas,"aardappelen, tomatensaus, knoflook, chili",Spaans
Aglianico,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Moscato,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Moscato,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Moscato,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Moscato,Pulpo a la Gallega,"octopus, paprika, olijfolie, aardappelen",Spaans
Moscato,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Moscato,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Moscato,Confit de canard,"eendenbouten, eendenvet, knoflook",Frans
Moscato,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Moscato,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Moscato,Stroopwafels,"stroop, bloem, boter, suiker",Nederlands
Garnacha,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Garnacha,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Garnacha,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Garnacha,Tiramisu,"mascarpone, koffie, lange vingers, cacao",Italiaans
Garnacha,Croquetas,"ham, melk, boter, paneermeel",Spaans
Garnacha,Confit de canard,"eendenbouten, eendenvet, knoflook",Frans
Garnacha,Haring met ui,"haring, ui, augurk",Nederlands
Garnacha,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Garnacha,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Garnacha,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Sauvignon,Confit de canard,"eendenbouten, eendenvet, knoflook",Frans
Sauvignon,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Sauvignon,Erwtensoep,"spliterwten, rookworst, knolselderij, wortel",Nederlands
Sauvignon,Croquetas,"ham, melk, boter, paneermeel",Spaans
Sauvignon,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Sauvignon,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Sauvignon,Cassoulet,"witte bonen, worst, eend, spek",Frans
Sauvignon,Speculaas,"bloem, speculaaskruiden, suiker, boter",Nederlands
Sauvignon,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Sauvignon,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Verdejo,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Verdejo,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Verdejo,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Verdejo,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Verdejo,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Verdejo,Churros,"bloem, suiker, olie, kaneel",Spaans
Verdejo,Croquetas,"ham, melk, boter, paneermeel",Spaans
Verdejo,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Verdejo,Salade Niçoise,"tonijn, ei, olijven, sperziebonen",Frans
Verdejo,Witloof in de oven,"witlof, ham, kaas, roomsaus",Belgisch
Melon,Speculaas,"bloem, speculaaskruiden, suiker, boter",Nederlands
Melon,Spaghetti Carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Melon,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Melon,Boeuf Bourguignon,"rundvlees, rode wijn, wortel, ui, spek",Frans
Melon,Appeltaart,"appels, kaneel, suiker, bloem, boter",Nederlands
Melon,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Melon,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Melon,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Melon,Focaccia,"bloem, olijfolie, rozemarijn, zout",Italiaans
Melon,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Garganega,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Garganega,Stoofvlees,"rundvlees, ui, bier, laurier",Belgisch
Garganega,Tiramisu,"mascarpone, koffie, lange vingers, cacao",Italiaans
Garganega,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Garganega,Erwtensoep,"spliterwten, rookworst, knolselderij, wortel",Nederlands
Garganega,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Garganega,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Garganega,Waterzooi,"kip, room, wortelen, prei, aardappelen",Belgisch
Garganega,Pisto,"tomaat, paprika, courgette, ui",Spaans
Garganega,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
