Wijnsoort,Gerecht,Ingrediënten,Afkomst
Grüner Veltliner,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Riesling,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Albariño,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Cabernet Sauvignon,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
"Corvina, Rondinella, Molinara",Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Portuguese Red,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Bordeaux-style White Blend,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Port,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Zinfandel,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Verdejo,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Grüner Veltliner,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Sauvignon,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Nero d'Avola,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Champagne Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Red Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Portuguese White,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Albariño,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Aglianico,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Champagne Blend,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Sauvignon,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Sparkling Blend,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Syrah,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Gewürztraminer,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Pinot Gris,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Sauvignon,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Petite Sirah,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Sangiovese Grosso,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Melon,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Chardonnay,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Glera,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Albariño,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Syrah,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Port,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
"Corvina, Rondinella, Molinara",Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Riesling,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Pinot Blanc,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Albariño,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Carmenère,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Sauvignon Blanc,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Portuguese Red,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Sangiovese Grosso,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Barbera,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Nero d'Avola,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
White Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Bordeaux-style White Blend,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Carmenère,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Viognier,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Bordeaux-style Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Petite Sirah,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Bordeaux-style White Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Gewürztraminer,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Sauvignon,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Pinot Noir,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Portuguese White,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Nebbiolo,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Merlot,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Chardonnay,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Grüner Veltliner,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Gewürztraminer,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Sangiovese,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Sangiovese Grosso,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Pinot Grigio,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Viognier,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Pinot Grigio,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Red Blend,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Riesling,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Gamay,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
"Corvina, Rondinella, Molinara",Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Tempranillo,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Grüner Veltliner,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Port,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Grüner Veltliner,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Garnacha,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Melon,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
White Blend,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Viognier,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Bordeaux-style Red Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Syrah,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Tempranillo,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Nebbiolo,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Melon,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Carmenère,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Glera,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Syrah,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Port,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Sangiovese Grosso,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Chenin Blanc,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Viognier,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Grüner Veltliner,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Red Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Sangiovese,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Rosé,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Cabernet Franc,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
White Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Port,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Cabernet Sauvignon,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Albariño,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Nero d'Avola,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Pinot Noir,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Sangiovese,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Tempranillo,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Gewürztraminer,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Rhône-style Red Blend,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Tempranillo Blend,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
"Corvina, Rondinella, Molinara",Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Chenin Blanc,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Albariño,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Sauvignon,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Tempranillo Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Chardonnay,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Bordeaux-style White Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Pinot Noir,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Sauvignon,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Albariño,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Chenin Blanc,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
White Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Garganega,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Shiraz,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Bordeaux-style White Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Grüner Veltliner,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Gewürztraminer,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Port,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Port,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Sauvignon Blanc,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Cabernet Sauvignon,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Chenin Blanc,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Garganega,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Merlot,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Red Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Chenin Blanc,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Sauvignon,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Pinot Grigio,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Barbera,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Nero d'Avola,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Cabernet Sauvignon,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Bordeaux-style White Blend,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Malbec,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Cabernet Sauvignon,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Nero d'Avola,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Tempranillo Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Chenin Blanc,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Champagne Blend,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Sangiovese,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Melon,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Pinot Gris,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Rhône-style Red Blend,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Verdejo,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Verdejo,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Petite Sirah,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Barbera,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Pinot Gris,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Albariño,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Red Blend,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Riesling,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Sauvignon Blanc,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Carmenère,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Syrah,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Aglianico,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Rosé,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Melon,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Sauvignon,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Gewürztraminer,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
White Blend,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Merlot,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Bordeaux-style White Blend,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Pinot Gris,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Gewürztraminer,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Grüner Veltliner,Moules frites,"mosselen, ui, selderij, friet",Belgisch
White Blend,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Garganega,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Pinot Gris,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Chardonnay,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Cabernet Sauvignon,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Rhône-style Red Blend,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Viognier,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Pinot Grigio,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Shiraz,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Grüner Veltliner,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Moscato,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style White Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Nebbiolo,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Albariño,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Verdejo,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Grüner Veltliner,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Sauvignon,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Sparkling Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Zinfandel,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
